train_code,is_moving,from_code,to_code,date,time
TRAIN 0-0,FALSE,CC1,CC2,6/1/2017,6:00
TRAIN 1-0,FALSE,CC29,CC28,6/1/2017,6:00
TRAIN 0-0,FALSE,CC2,CC3,6/1/2017,6:01
TRAIN 1-0,TRUE,CC29,CC28,6/1/2017,6:02
TRAIN 0-0,TRUE,CC2,CC3,6/1/2017,6:03
TRAIN 0-0,FALSE,CC3,CC4,6/1/2017,6:03
TRAIN 1-0,TRUE,CC29,CC28,6/1/2017,6:03
TRAIN 1-0,FALSE,CC28,CC27,6/1/2017,6:03
TRAIN 0-0,TRUE,CC3,CC4,6/1/2017,6:05
TRAIN 0-0,FALSE,CC4,CC5,6/1/2017,6:05
TRAIN 0-1,FALSE,CC1,CC2,6/1/2017,6:05
TRAIN 1-0,TRUE,CC28,CC27,6/1/2017,6:05
TRAIN 1-0,FALSE,CC27,CC26,6/1/2017,6:05
TRAIN 1-1,FALSE,CC29,CC28,6/1/2017,6:05
TRAIN 0-1,FALSE,CC2,CC3,6/1/2017,6:06
TRAIN 0-0,TRUE,CC4,CC5,6/1/2017,6:07
TRAIN 0-0,FALSE,CC5,CC6,6/1/2017,6:07
TRAIN 1-0,TRUE,CC27,CC26,6/1/2017,6:07
TRAIN 1-0,FALSE,CC26,CC25,6/1/2017,6:07
TRAIN 1-1,TRUE,CC29,CC28,6/1/2017,6:07
TRAIN 0-1,TRUE,CC2,CC3,6/1/2017,6:08
TRAIN 0-1,FALSE,CC3,CC4,6/1/2017,6:08
TRAIN 1-1,TRUE,CC29,CC28,6/1/2017,6:08
TRAIN 1-1,FALSE,CC28,CC27,6/1/2017,6:08
TRAIN 0-0,TRUE,CC5,CC6,6/1/2017,6:09
TRAIN 1-0,TRUE,CC26,CC25,6/1/2017,6:09
TRAIN 0-0,TRUE,CC5,CC6,6/1/2017,6:10
TRAIN 0-0,FALSE,CC6,CC7,6/1/2017,6:10
TRAIN 0-1,TRUE,CC3,CC4,6/1/2017,6:10
TRAIN 0-1,FALSE,CC4,CC5,6/1/2017,6:10
TRAIN 0-2,FALSE,CC1,CC2,6/1/2017,6:10
TRAIN 1-0,TRUE,CC26,CC25,6/1/2017,6:10
TRAIN 1-0,FALSE,CC25,CC24,6/1/2017,6:10
TRAIN 1-1,TRUE,CC28,CC27,6/1/2017,6:10
TRAIN 1-1,FALSE,CC27,CC26,6/1/2017,6:10
TRAIN 1-2,FALSE,CC29,CC28,6/1/2017,6:10
TRAIN 0-0,FALSE,CC7,CC8,6/1/2017,6:11
TRAIN 0-2,FALSE,CC2,CC3,6/1/2017,6:11
TRAIN 0-1,TRUE,CC4,CC5,6/1/2017,6:12
TRAIN 0-1,FALSE,CC5,CC6,6/1/2017,6:12
TRAIN 1-0,TRUE,CC25,CC24,6/1/2017,6:12
TRAIN 1-0,FALSE,CC24,CC23,6/1/2017,6:12
TRAIN 1-1,TRUE,CC27,CC26,6/1/2017,6:12
TRAIN 1-1,FALSE,CC26,CC25,6/1/2017,6:12
TRAIN 1-2,TRUE,CC29,CC28,6/1/2017,6:12
TRAIN 0-0,TRUE,CC7,CC8,6/1/2017,6:13
TRAIN 0-0,FALSE,CC8,CC9,6/1/2017,6:13
TRAIN 0-2,TRUE,CC2,CC3,6/1/2017,6:13
TRAIN 0-2,FALSE,CC3,CC4,6/1/2017,6:13
TRAIN 1-2,TRUE,CC29,CC28,6/1/2017,6:13
TRAIN 1-2,FALSE,CC28,CC27,6/1/2017,6:13
TRAIN 0-1,TRUE,CC5,CC6,6/1/2017,6:14
TRAIN 1-0,TRUE,CC24,CC23,6/1/2017,6:14
TRAIN 1-0,FALSE,CC23,CC22,6/1/2017,6:14
TRAIN 1-1,TRUE,CC26,CC25,6/1/2017,6:14
TRAIN 0-0,TRUE,CC8,CC9,6/1/2017,6:15
TRAIN 0-1,TRUE,CC5,CC6,6/1/2017,6:15
TRAIN 0-1,FALSE,CC6,CC7,6/1/2017,6:15
TRAIN 0-2,TRUE,CC3,CC4,6/1/2017,6:15
TRAIN 0-2,FALSE,CC4,CC5,6/1/2017,6:15
TRAIN 0-3,FALSE,CC1,CC2,6/1/2017,6:15
TRAIN 1-1,TRUE,CC26,CC25,6/1/2017,6:15
TRAIN 1-1,FALSE,CC25,CC24,6/1/2017,6:15
TRAIN 1-2,TRUE,CC28,CC27,6/1/2017,6:15
TRAIN 1-2,FALSE,CC27,CC26,6/1/2017,6:15
TRAIN 1-3,FALSE,CC29,CC28,6/1/2017,6:15
TRAIN 0-0,TRUE,CC8,CC9,6/1/2017,6:16
TRAIN 0-0,FALSE,CC9,CC10,6/1/2017,6:16
TRAIN 0-1,FALSE,CC7,CC8,6/1/2017,6:16
TRAIN 0-3,FALSE,CC2,CC3,6/1/2017,6:16
TRAIN 1-0,TRUE,CC23,CC22,6/1/2017,6:16
TRAIN 1-0,FALSE,CC22,CC21,6/1/2017,6:16
TRAIN 0-2,TRUE,CC4,CC5,6/1/2017,6:17
TRAIN 0-2,FALSE,CC5,CC6,6/1/2017,6:17
TRAIN 1-1,TRUE,CC25,CC24,6/1/2017,6:17
TRAIN 1-1,FALSE,CC24,CC23,6/1/2017,6:17
TRAIN 1-2,TRUE,CC27,CC26,6/1/2017,6:17
TRAIN 1-2,FALSE,CC26,CC25,6/1/2017,6:17
TRAIN 1-3,TRUE,CC29,CC28,6/1/2017,6:17
TRAIN 0-0,TRUE,CC9,CC10,6/1/2017,6:18
TRAIN 0-0,FALSE,CC10,CC11,6/1/2017,6:18
TRAIN 0-1,TRUE,CC7,CC8,6/1/2017,6:18
TRAIN 0-1,FALSE,CC8,CC9,6/1/2017,6:18
TRAIN 0-3,TRUE,CC2,CC3,6/1/2017,6:18
TRAIN 0-3,FALSE,CC3,CC4,6/1/2017,6:18
TRAIN 1-0,TRUE,CC22,CC21,6/1/2017,6:18
TRAIN 1-0,FALSE,CC21,CC20,6/1/2017,6:18
TRAIN 1-3,TRUE,CC29,CC28,6/1/2017,6:18
TRAIN 1-3,FALSE,CC28,CC27,6/1/2017,6:18
TRAIN 0-2,TRUE,CC5,CC6,6/1/2017,6:19
TRAIN 1-1,TRUE,CC24,CC23,6/1/2017,6:19
TRAIN 1-1,FALSE,CC23,CC22,6/1/2017,6:19
TRAIN 1-2,TRUE,CC26,CC25,6/1/2017,6:19
TRAIN 0-0,TRUE,CC10,CC11,6/1/2017,6:20
TRAIN 0-0,FALSE,CC11,CC12,6/1/2017,6:20
TRAIN 0-1,TRUE,CC8,CC9,6/1/2017,6:20
TRAIN 0-2,TRUE,CC5,CC6,6/1/2017,6:20
TRAIN 0-2,FALSE,CC6,CC7,6/1/2017,6:20
TRAIN 0-3,TRUE,CC3,CC4,6/1/2017,6:20
TRAIN 0-3,FALSE,CC4,CC5,6/1/2017,6:20
TRAIN 0-4,FALSE,CC1,CC2,6/1/2017,6:20
TRAIN 1-0,TRUE,CC21,CC20,6/1/2017,6:20
TRAIN 1-0,FALSE,CC20,CC19,6/1/2017,6:20
TRAIN 1-2,TRUE,CC26,CC25,6/1/2017,6:20
TRAIN 1-2,FALSE,CC25,CC24,6/1/2017,6:20
TRAIN 1-3,TRUE,CC28,CC27,6/1/2017,6:20
TRAIN 1-3,FALSE,CC27,CC26,6/1/2017,6:20
TRAIN 1-4,FALSE,CC29,CC28,6/1/2017,6:20
TRAIN 0-1,TRUE,CC8,CC9,6/1/2017,6:21
TRAIN 0-1,FALSE,CC9,CC10,6/1/2017,6:21
TRAIN 0-2,FALSE,CC7,CC8,6/1/2017,6:21
TRAIN 0-4,FALSE,CC2,CC3,6/1/2017,6:21
TRAIN 1-1,TRUE,CC23,CC22,6/1/2017,6:21
TRAIN 1-1,FALSE,CC22,CC21,6/1/2017,6:21
TRAIN 0-0,TRUE,CC11,CC12,6/1/2017,6:22
TRAIN 0-0,FALSE,CC12,CC13,6/1/2017,6:22
TRAIN 0-3,TRUE,CC4,CC5,6/1/2017,6:22
TRAIN 0-3,FALSE,CC5,CC6,6/1/2017,6:22
TRAIN 1-0,TRUE,CC20,CC19,6/1/2017,6:22
TRAIN 1-2,TRUE,CC25,CC24,6/1/2017,6:22
TRAIN 1-2,FALSE,CC24,CC23,6/1/2017,6:22
TRAIN 1-3,TRUE,CC27,CC26,6/1/2017,6:22
TRAIN 1-3,FALSE,CC26,CC25,6/1/2017,6:22
TRAIN 1-4,TRUE,CC29,CC28,6/1/2017,6:22
TRAIN 0-1,TRUE,CC9,CC10,6/1/2017,6:23
TRAIN 0-1,FALSE,CC10,CC11,6/1/2017,6:23
TRAIN 0-2,TRUE,CC7,CC8,6/1/2017,6:23
TRAIN 0-2,FALSE,CC8,CC9,6/1/2017,6:23
TRAIN 0-4,TRUE,CC2,CC3,6/1/2017,6:23
TRAIN 0-4,FALSE,CC3,CC4,6/1/2017,6:23
TRAIN 1-0,TRUE,CC20,CC19,6/1/2017,6:23
TRAIN 1-0,FALSE,CC19,CC17,6/1/2017,6:23
TRAIN 1-1,TRUE,CC22,CC21,6/1/2017,6:23
TRAIN 1-1,FALSE,CC21,CC20,6/1/2017,6:23
TRAIN 1-4,TRUE,CC29,CC28,6/1/2017,6:23
TRAIN 1-4,FALSE,CC28,CC27,6/1/2017,6:23
TRAIN 0-0,TRUE,CC12,CC13,6/1/2017,6:24
TRAIN 0-0,FALSE,CC13,CC14,6/1/2017,6:24
TRAIN 0-3,TRUE,CC5,CC6,6/1/2017,6:24
TRAIN 1-2,TRUE,CC24,CC23,6/1/2017,6:24
TRAIN 1-2,FALSE,CC23,CC22,6/1/2017,6:24
TRAIN 1-3,TRUE,CC26,CC25,6/1/2017,6:24
TRAIN 0-1,TRUE,CC10,CC11,6/1/2017,6:25
TRAIN 0-1,FALSE,CC11,CC12,6/1/2017,6:25
TRAIN 0-2,TRUE,CC8,CC9,6/1/2017,6:25
TRAIN 0-3,TRUE,CC5,CC6,6/1/2017,6:25
TRAIN 0-3,FALSE,CC6,CC7,6/1/2017,6:25
TRAIN 0-4,TRUE,CC3,CC4,6/1/2017,6:25
TRAIN 0-4,FALSE,CC4,CC5,6/1/2017,6:25
TRAIN 0-5,FALSE,CC1,CC2,6/1/2017,6:25
TRAIN 1-0,TRUE,CC19,CC17,6/1/2017,6:25
TRAIN 1-1,TRUE,CC21,CC20,6/1/2017,6:25
TRAIN 1-1,FALSE,CC20,CC19,6/1/2017,6:25
TRAIN 1-3,TRUE,CC26,CC25,6/1/2017,6:25
TRAIN 1-3,FALSE,CC25,CC24,6/1/2017,6:25
TRAIN 1-4,TRUE,CC28,CC27,6/1/2017,6:25
TRAIN 1-4,FALSE,CC27,CC26,6/1/2017,6:25
TRAIN 1-5,FALSE,CC29,CC28,6/1/2017,6:25
TRAIN 0-0,TRUE,CC13,CC14,6/1/2017,6:26
TRAIN 0-0,FALSE,CC14,CC15,6/1/2017,6:26
TRAIN 0-2,TRUE,CC8,CC9,6/1/2017,6:26
TRAIN 0-2,FALSE,CC9,CC10,6/1/2017,6:26
TRAIN 0-3,FALSE,CC7,CC8,6/1/2017,6:26
TRAIN 0-5,FALSE,CC2,CC3,6/1/2017,6:26
TRAIN 1-0,TRUE,CC19,CC17,6/1/2017,6:26
TRAIN 1-2,TRUE,CC23,CC22,6/1/2017,6:26
TRAIN 1-2,FALSE,CC22,CC21,6/1/2017,6:26
TRAIN 0-1,TRUE,CC11,CC12,6/1/2017,6:27
TRAIN 0-1,FALSE,CC12,CC13,6/1/2017,6:27
TRAIN 0-4,TRUE,CC4,CC5,6/1/2017,6:27
TRAIN 0-4,FALSE,CC5,CC6,6/1/2017,6:27
TRAIN 1-0,TRUE,CC19,CC17,6/1/2017,6:27
TRAIN 1-0,FALSE,CC17,CC16,6/1/2017,6:27
TRAIN 1-1,TRUE,CC20,CC19,6/1/2017,6:27
TRAIN 1-3,TRUE,CC25,CC24,6/1/2017,6:27
TRAIN 1-3,FALSE,CC24,CC23,6/1/2017,6:27
TRAIN 1-4,TRUE,CC27,CC26,6/1/2017,6:27
TRAIN 1-4,FALSE,CC26,CC25,6/1/2017,6:27
TRAIN 1-5,TRUE,CC29,CC28,6/1/2017,6:27
TRAIN 0-0,TRUE,CC14,CC15,6/1/2017,6:28
TRAIN 0-2,TRUE,CC9,CC10,6/1/2017,6:28
TRAIN 0-2,FALSE,CC10,CC11,6/1/2017,6:28
TRAIN 0-3,TRUE,CC7,CC8,6/1/2017,6:28
TRAIN 0-3,FALSE,CC8,CC9,6/1/2017,6:28
TRAIN 0-5,TRUE,CC2,CC3,6/1/2017,6:28
TRAIN 0-5,FALSE,CC3,CC4,6/1/2017,6:28
TRAIN 1-1,TRUE,CC20,CC19,6/1/2017,6:28
TRAIN 1-1,FALSE,CC19,CC17,6/1/2017,6:28
TRAIN 1-2,TRUE,CC22,CC21,6/1/2017,6:28
TRAIN 1-2,FALSE,CC21,CC20,6/1/2017,6:28
TRAIN 1-5,TRUE,CC29,CC28,6/1/2017,6:28
TRAIN 1-5,FALSE,CC28,CC27,6/1/2017,6:28
TRAIN 0-0,TRUE,CC14,CC15,6/1/2017,6:29
TRAIN 0-0,FALSE,CC15,CC16,6/1/2017,6:29
TRAIN 0-1,TRUE,CC12,CC13,6/1/2017,6:29
TRAIN 0-1,FALSE,CC13,CC14,6/1/2017,6:29
TRAIN 0-4,TRUE,CC5,CC6,6/1/2017,6:29
TRAIN 1-0,TRUE,CC17,CC16,6/1/2017,6:29
TRAIN 1-3,TRUE,CC24,CC23,6/1/2017,6:29
TRAIN 1-3,FALSE,CC23,CC22,6/1/2017,6:29
TRAIN 1-4,TRUE,CC26,CC25,6/1/2017,6:29
TRAIN 0-2,TRUE,CC10,CC11,6/1/2017,6:30
TRAIN 0-2,FALSE,CC11,CC12,6/1/2017,6:30
TRAIN 0-3,TRUE,CC8,CC9,6/1/2017,6:30
TRAIN 0-4,TRUE,CC5,CC6,6/1/2017,6:30
TRAIN 0-4,FALSE,CC6,CC7,6/1/2017,6:30
TRAIN 0-5,TRUE,CC3,CC4,6/1/2017,6:30
